configuration,attenuation (dB),packet size (B),mean (Mibps),median (Mibps),std (Mibps),min (Mibps),max (Mibps),q1 (Mibps),q3 (Mibps)
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,44.873,44.873,0.0,44.873,44.873,44.873,44.873
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,43.649,43.649,0.0,43.649,43.649,43.649,43.649
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,23.077,23.077,0.0,23.077,23.077,23.077,23.077
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,44.089,44.089,0.0,44.089,44.089,44.089,44.089
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,43.734,43.734,0.0,43.734,43.734,43.734,43.734
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,42.491,42.491,0.0,42.491,42.491,42.491,42.491
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,42.8,42.8,0.0,42.8,42.8,42.8,42.8
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,41.315,41.315,0.0,41.315,41.315,41.315,41.315
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,41.317,41.317,0.0,41.317,41.317,41.317,41.317
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,44.05,44.05,0.0,44.05,44.05,44.05,44.05
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,43.339,43.339,0.0,43.339,43.339,43.339,43.339
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,30.653,30.653,0.0,30.653,30.653,30.653,30.653
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,44.194,44.194,0.0,44.194,44.194,44.194,44.194
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,44.236,44.236,0.0,44.236,44.236,44.236,44.236
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,41.311,41.311,0.0,41.311,41.311,41.311,41.311
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,44.061,44.061,0.0,44.061,44.061,44.061,44.061
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,34.101,34.101,0.0,34.101,34.101,34.101,34.101
pb-178-tdd-low-latency-sr-per-1.cfg,30,512,41.608,41.608,0.0,41.608,41.608,41.608,41.608
