configuration,attenuation (dB),packet size (B),mean (Mibps),median (Mibps),std (Mibps),min (Mibps),max (Mibps),q1 (Mibps),q3 (Mibps)
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,2.679,2.679,0.0,2.679,2.679,2.679,2.679
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,4.092,4.092,0.0,4.092,4.092,4.092,4.092
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,3.956,3.956,0.0,3.956,3.956,3.956,3.956
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,2.85,2.85,0.0,2.85,2.85,2.85,2.85
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,2.915,2.915,0.0,2.915,2.915,2.915,2.915
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,2.916,2.916,0.0,2.916,2.916,2.916,2.916
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,3.487,3.487,0.0,3.487,3.487,3.487,3.487
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,2.588,2.588,0.0,2.588,2.588,2.588,2.588
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,2.479,2.479,0.0,2.479,2.479,2.479,2.479
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,2.39,2.39,0.0,2.39,2.39,2.39,2.39
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,3.326,3.326,0.0,3.326,3.326,3.326,3.326
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,2.633,2.633,0.0,2.633,2.633,2.633,2.633
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,2.707,2.707,0.0,2.707,2.707,2.707,2.707
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,3.798,3.798,0.0,3.798,3.798,3.798,3.798
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,3.652,3.652,0.0,3.652,3.652,3.652,3.652
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,2.569,2.569,0.0,2.569,2.569,2.569,2.569
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,3.057,3.057,0.0,3.057,3.057,3.057,3.057
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,3.266,3.266,0.0,3.266,3.266,3.266,3.266
pb-178-tdd-low-latency-sr-per-1.cfg,30,1436,2.692,2.692,0.0,2.692,2.692,2.692,2.692
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,85.428,85.428,0.0,85.428,85.428,85.428,85.428
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,85.464,85.464,0.0,85.464,85.464,85.464,85.464
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,85.415,85.415,0.0,85.415,85.415,85.415,85.415
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,85.423,85.423,0.0,85.423,85.423,85.423,85.423
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,85.463,85.463,0.0,85.463,85.463,85.463,85.463
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,85.405,85.405,0.0,85.405,85.405,85.405,85.405
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,85.406,85.406,0.0,85.406,85.406,85.406,85.406
