configuration,attenuation (dB),packet size (B),mean (Mibps),median (Mibps),std (Mibps),min (Mibps),max (Mibps),q1 (Mibps),q3 (Mibps)
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,16,75.589,75.589,0.0,75.589,75.589,75.589,75.589
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,16,77.878,77.878,0.0,77.878,77.878,77.878,77.878
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,16,76.534,76.534,0.0,76.534,76.534,76.534,76.534
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,16,76.123,76.123,0.0,76.123,76.123,76.123,76.123
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,16,58.782,58.782,0.0,58.782,58.782,58.782,58.782
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,16,75.305,75.305,0.0,75.305,75.305,75.305,75.305
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,16,48.365,48.365,0.0,48.365,48.365,48.365,48.365
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,16,75.274,75.274,0.0,75.274,75.274,75.274,75.274
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,16,76.04,76.04,0.0,76.04,76.04,76.04,76.04
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,16,45.081,45.081,0.0,45.081,45.081,45.081,45.081
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,16,64.866,64.866,0.0,64.866,64.866,64.866,64.866
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,16,74.592,74.592,0.0,74.592,74.592,74.592,74.592
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,16,53.163,53.163,0.0,53.163,53.163,53.163,53.163
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,16,49.194,49.194,0.0,49.194,49.194,49.194,49.194
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,16,76.012,76.012,0.0,76.012,76.012,76.012,76.012
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,16,75.69,75.69,0.0,75.69,75.69,75.69,75.69
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,512,48.229,48.229,0.0,48.229,48.229,48.229,48.229
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,512,48.347,48.347,0.0,48.347,48.347,48.347,48.347
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,16,76.441,76.441,0.0,76.441,76.441,76.441,76.441
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,512,76.37,76.37,0.0,76.37,76.37,76.37,76.37
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,512,76.075,76.075,0.0,76.075,76.075,76.075,76.075
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,512,72.165,72.165,0.0,72.165,72.165,72.165,72.165
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,512,48.399,48.399,0.0,48.399,48.399,48.399,48.399
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,512,76.773,76.773,0.0,76.773,76.773,76.773,76.773
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,512,76.895,76.895,0.0,76.895,76.895,76.895,76.895
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,512,77.335,77.335,0.0,77.335,77.335,77.335,77.335
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,512,77.01,77.01,0.0,77.01,77.01,77.01,77.01
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,512,76.767,76.767,0.0,76.767,76.767,76.767,76.767
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,512,76.774,76.774,0.0,76.774,76.774,76.774,76.774
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,512,76.309,76.309,0.0,76.309,76.309,76.309,76.309
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,512,77.043,77.043,0.0,77.043,77.043,77.043,77.043
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,512,76.06,76.06,0.0,76.06,76.06,76.06,76.06
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,512,59.259,59.259,0.0,59.259,59.259,59.259,59.259
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,512,77.616,77.616,0.0,77.616,77.616,77.616,77.616
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,512,76.915,76.915,0.0,76.915,76.915,76.915,76.915
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,512,77.17,77.17,0.0,77.17,77.17,77.17,77.17
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,512,71.433,71.433,0.0,71.433,71.433,71.433,71.433
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,512,73.112,73.112,0.0,73.112,73.112,73.112,73.112
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,512,56.281,56.281,0.0,56.281,56.281,56.281,56.281
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,512,76.118,76.118,0.0,76.118,76.118,76.118,76.118
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,512,74.922,74.922,0.0,74.922,74.922,74.922,74.922
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,512,76.746,76.746,0.0,76.746,76.746,76.746,76.746
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,512,76.625,76.625,0.0,76.625,76.625,76.625,76.625
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,512,76.492,76.492,0.0,76.492,76.492,76.492,76.492
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,512,77.394,77.394,0.0,77.394,77.394,77.394,77.394
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,512,74.629,74.629,0.0,74.629,74.629,74.629,74.629
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,512,76.769,76.769,0.0,76.769,76.769,76.769,76.769
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,1436,64.212,64.212,0.0,64.212,64.212,64.212,64.212
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,1436,48.138,48.138,0.0,48.138,48.138,48.138,48.138
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,1436,64.326,64.326,0.0,64.326,64.326,64.326,64.326
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,1436,60.94,60.94,0.0,60.94,60.94,60.94,60.94
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,1436,76.138,76.138,0.0,76.138,76.138,76.138,76.138
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,1436,74.943,74.943,0.0,74.943,74.943,74.943,74.943
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,1436,47.95,47.95,0.0,47.95,47.95,47.95,47.95
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,30,1436,63.281,63.281,0.0,63.281,63.281,63.281,63.281
